Step,Vi_matrix,Demand_map,Accessibility_map,Population_map
0,0.0020299913345323446,0.0009999999999999998,1.872056305581583,0.001
0,0.013942607764943707,0.0009999999999999998,2.084,0.001
0,0.005512691900958164,0.0009999999999999998,1.932567752230205,0.001
0,0.0024946601620700537,0.0009999999999999998,1.8582318176259265,0.001
0,0.0029855583737738076,0.0009999999999999998,1.9606805807093037,0.001
0,0.01655095400944002,0.0019999999999999996,2.08,0.002
0,0.010569163465219461,0.0009999999999999998,1.9796383312192305,0.001
0,0.0025724880429825164,0.0009999999999999998,2.086,0.001
0,0.0022491946348432127,0.0009999999999999998,1.9803098296495663,0.001
0,0.0047533340031890884,0.0014999999999999998,1.9826334030321247,0.0015
0,0.009559472457873102,0.0009999999999999998,1.9957167363470198,0.001
0,0.0030888315915721227,0.0012,1.9695776831141456,0.0012000000000000001
0,0.0022545330455329515,0.0009999999999999998,1.90845607270614,0.001
0,0.0026998900885859167,0.0009999999999999998,1.9645388983985055,0.001
0,0.00212587410132706,0.0009999999999999998,1.9091305361525401,0.001
0,0.0032586873190315634,0.0012999999999999997,1.9885694311849151,0.0013
0,0.0022075079168119285,0.0009999999999999998,2.0273946182849425,0.001
0,0.002125439127498331,0.0009999999999999998,1.9945054593377063,0.001
0,0.011081274839332413,0.0009999999999999998,1.956703021414266,0.001
0,0.005306103875380974,0.0009999999999999998,1.9345003199824349,0.001
0,0.0038736408931944414,0.00100013,2.161579721511102,0.0010001300000000001
0,0.005900255319573436,0.0019999999999999996,2.0066793347742533,0.002
0,0.0038698664421906678,0.0014999999999999998,2.0055073399027594,0.0015
0,0.0028708065748715987,0.0009999999999999998,1.9277503519806785,0.001
0,0.0023289461819858384,0.001014121017,2.128026838361146,0.0010141210170000001
0,0.0025705265383136966,0.0009999999999999998,1.9075004479754092,0.001
0,0.010788936948136619,0.0010019999999999999,1.9075004479754092,0.001002
0,0.0026255356381389,0.0009999999999999998,2.141167943537579,0.001
0,0.002329251310399622,0.0009999999999999998,1.8872505439701397,0.001
0,0.009479998670268667,0.0013999999999999998,2.016680438067291,0.0014
0,0.007571063432962705,0.0010019999999999999,1.8670006399648702,0.001002
0,0.041637014240598,0.0013019999999999998,2.002622507405463,0.001302
0,0.0022664206137851628,0.00101502,2.002622507405463,0.0010150200000000002
0,0.007901442961471269,0.0009999999999999998,1.8528883331322752,0.001
0,0.0021896038140183545,0.0009999999999999998,1.9776626442619256,0.001
0,0.00544919732050853,0.0009999999999999998,1.9174231433553859,0.001
0,0.0021744118868295614,0.0009999999999999998,1.9492810646019012,0.001
0,0.003229737428206628,0.0012999999999999997,1.9919056094209722,0.0013
0,0.004141793195743329,0.0018999999999999998,2.029135397177035,0.0019
0,0.002570722648920614,0.0009999999999999998,1.9952500319982431,0.001
0,0.003038993329434304,0.0009999999999999998,1.9397683699225017,0.001
0,0.003732571794929892,0.0009999999999999998,2.006005326814953,0.001
0,0.0020700127226616805,0.0009999999999999998,2.0420830494233044,0.001
0,0.005534862125087996,0.0012059999999999998,2.084167775561669,0.001206
0,0.006130812721545716,0.0026999999999999997,2.0558942391295494,0.0027
0,0.006960901389745448,0.0012,2.0809600733328333,0.0012000000000000001
0,0.0025795041522476097,0.0010119999999999999,2.1248117223877396,0.001012
0,0.0065806648334428165,0.0017999999999999997,2.050871887421932,0.0018
0,0.002643751326211712,0.0009999999999999998,2.073651483037578,0.001
0,0.011501116924690618,0.0012999999999999997,2.0298190519357,0.0013
0,0.011079839097990011,0.0015999999999999996,2.0999911796909294,0.0015999999999999999
0,0.006174375514082306,0.00271517,2.1060822964867265,0.0027151700000000003
0,0.002630217695906277,0.0010019999999999999,2.0783620570536634,0.001002
0,0.0029974236139012735,0.0012999999999999997,2.107416893692513,0.0013
0,0.00446028194750002,0.0010149999999999998,2.1058900313192748,0.001015
0,0.003074004880164798,0.0010259999999999998,2.1188319520620706,0.001026
0,0.0036294862709081895,0.001718,1.9718413823346397,0.0017180000000000001
0,0.005761384535945807,0.0024,1.9904865775469331,0.0024000000000000002
